eff_entity_id,display_name,pools,stake_ada,delegator_cnt,op_take_ada,fc_ada,margin_ada,reward_ada,median_margin,is_mpo,pledge_tags,ada_per_delegator,op_take_pct,fc_share_pct,margin_share_pct,cell_stake_share_pct,custodial_signal,archetype,reasoning
ITC,FREE,3,78445145.787694,18061,1928.407383,1020.0,908.4073826478,23787.102322,0.0399,True,Low pledge|Material pledge,4343.0,8.1,4.3,3.8,0.62,False,multi_brand_fleet,"Automated discovery via pool group and reward address clustering. 5 pools identified, total stake 79,947,707 ADA. Community multi-pool operator pattern detected."
SPIRE,Spire,1,75587092.030646,9450,584.951918,340.0,244.95191843,24835.191843,0.01,True,Material pledge,7999.0,2.4,1.4,1.0,0.59,False,independent_mpo,Community operator with high margin (22.2%) and near-zero pledge. Declining stake — consistent with market pressure on high-margin low-pledge pools.
SASA,SASA,2,74589205.58485,297,1366.606382,680.0,686.60638176,21275.284886,0.0325,True,Minimal pledge,251142.0,6.4,3.2,3.2,0.59,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 74,336,606 ADA. Community multi-pool operator pattern detected."
JOY,HOPE,6,70582909.30783999,2564,2053.584229,1360.0,693.584227722,19734.626001,0.048,True,Low pledge|Material pledge,27528.0,10.4,6.9,3.5,0.56,False,multi_brand_fleet,"Automated discovery via pool group and reward address clustering. 9 pools identified, total stake 78,637,822 ADA. Community multi-pool operator pattern detected."
CAFE,CAFE,1,69207212.692033,6575,571.542624,340.0,231.54262404,23494.262404,0.01,True,Material pledge,10526.0,2.4,1.4,1.0,0.54,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 3 pools identified, total stake 80,734,132 ADA. Community multi-pool operator pattern detected."
ONYX,ONYX,3,68972291.11387199,2761,677.2999970000001,510.0,167.29999806,17239.999806,0.01,True,Material pledge,24981.0,3.9,3.0,1.0,0.54,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 4 pools identified, total stake 69,189,617 ADA. Community multi-pool operator pattern detected."
XSP,XSP,2,67452027.776424,2441,1568.2356960000002,680.0,888.235695957,24686.370161,0.037,True,Low pledge,27633.0,6.4,2.8,3.6,0.53,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 67,060,961 ADA. Community multi-pool operator pattern detected."
pool1a8n7f97dmgtgrnl53exccknjdchqxrr9508hlxlgqp6xvjmzhej,,1,66675743.522954,1531,378.218503,170.0,208.21850317,20991.850317,0.01,False,,43550.0,1.8,0.8,1.0,0.52,False,,
STRIXJPN_GITHUB_IO,PNR39,2,65975673.629417,152,910.206316,679.0,231.20631643000002,23799.631643,0.01,True,Minimal pledge,434050.0,3.8,2.9,1.0,0.52,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 66,037,193 ADA. Community multi-pool operator pattern detected."
pool1zkdc6ve9nndk7vxnjlalhqt4hr5h8auz5qzjk7lrjrqtv23yuy5,,1,64667276.724778,1463,390.691977,170.0,220.69197683,22239.197683,0.01,False,,44202.0,1.8,0.8,1.0,0.51,False,,
pool1ddg6t2h9kj6lqlec4ncjs945lzj43m3ggrgdhf5sgzhtygpkznz,,1,64637281.933947,4160,463.553404,340.0,123.553403615,25050.680723,0.005,False,,15538.0,1.9,1.4,0.5,0.51,False,,
pool1whmm0hkxunyhxsr6dfjpx2tpvd05qhev820lx9vcmvqa5wjc6nh,,1,64422419.249434,896,510.397719,340.0,170.39771930950002,20386.790507,0.0085,False,,71900.0,2.5,1.7,0.8,0.51,False,,
pool1z5uqdk7dzdxaae5633fqfcu2eqzy3a3rgtuvy087fdld7yws0xt,,1,63795096.475268,5135,474.945156,340.0,134.945155917,15333.906213,0.009,False,,12424.0,3.1,2.2,0.9,0.5,False,,
SNAKEPOOL_LINK,SNAKE,1,63409878.433776,1013,523.126469,340.0,183.12646863000003,18652.646863,0.01,True,Low pledge,62596.0,2.8,1.8,1.0,0.5,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 63,253,511 ADA. Community multi-pool operator pattern detected."
WESTBERG,BCSH,6,61830750.457527,5119,2452.476565,2040.0,412.47656423,20355.423895,0.02,True,Low pledge,12079.0,12.0,10.0,2.0,0.49,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 8 pools identified, total stake 69,299,224 ADA. Community multi-pool operator pattern detected."
STI,STI,3,60947154.974565,8032,1280.994669,1020.0,260.994669175,15330.773285,0.015,True,Low pledge|Material pledge,7588.0,8.4,6.7,1.7,0.48,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 3 pools identified, total stake 60,881,319 ADA. Community multi-pool operator pattern detected."
FIMI,FIDA,3,59695354.5163,2919,1166.397555,1020.0,146.39755479000002,15659.755479,0.01,True,Low pledge|Material pledge,20451.0,7.4,6.5,0.9,0.47,False,multi_brand_fleet,"Automated discovery via pool group and reward address clustering. 9 pools identified, total stake 84,662,186 ADA. Community multi-pool operator pattern detected."
pool173mzegwuu0pjcrt60ekelzj5haqr8r5e4e0n45qh9jdz7xm5kh8,,1,59455188.520318,8525,788.216729,340.0,448.2167291076,22863.453724,0.0199,False,,6974.0,3.4,1.5,2.0,0.47,False,,
BRAVO,BRAVO,1,57780044.123497,10433,602.956325,340.0,262.95632475,17870.42165,0.015,True,Material pledge,5538.0,3.4,1.9,1.5,0.45,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 68,269,546 ADA. Community multi-pool operator pattern detected."
pool1k0ucs0fau2vhr3p7qh7mnpfgrllwwda7petxjz2gzzaxkyp8f88,,1,57337904.033938,3256,341.046992,170.0,171.04699157399995,19175.221286,0.009,False,,17610.0,1.8,0.9,0.9,0.45,False,,
LINKTR_EE,ADAOZ,1,56787673.321636,6098,483.81216,340.0,143.8121595,14721.21595,0.01,True,Low pledge,9313.0,3.3,2.3,1.0,0.45,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 58,185,922 ADA. Community multi-pool operator pattern detected."
pool1ft4xjlz9uw0r0ewcgtkgeakqrfc5azxmxwsm5pt94dv67mw4rgd,,1,56723580.507439,1503,493.609573,340.0,153.60957321,15700.957321,0.01,False,,37740.0,3.1,2.2,1.0,0.45,False,,
pool1ksrg8a964464las0ymw88slrwxkychjz9lh09lqltu5m7nw3pq0,,1,56456311.355906,2266,410.398523,300.0,110.3985231585,16299.785965,0.0069,False,,24915.0,2.5,1.8,0.7,0.44,False,,
pool1gtphgrdj8sluxm9e7ca2spcwcq2p0dxj9zf5v0yv3gsagzq704n,,1,55608511.161104,5716,443.063157,170.0,273.063156975,18374.210465,0.015,False,,9729.0,2.4,0.9,1.5,0.44,False,,
pool1prc9hna2mgamtspchrygc66s9n4tlkvh39e3t9zccef4kzc3ns2,,1,55395272.630156,1902,334.027015,170.0,164.027014974,18395.223886,0.009,False,,29125.0,1.8,0.9,0.9,0.44,False,,
pool17ahr5ygy48vpdfnatqn2z4wfu2te4quapk2yx3k50ce6kd7feg0,,1,55307726.745701,10021,569.7147,170.0,399.7147002956,20256.165844,0.0199,False,,5519.0,2.8,0.8,2.0,0.43,False,,
pool1qqqqdktl6pq46td0mwut0qn30g7nlue0sete9wxl0hwsq37wrw8,,1,53133063.413408,6449,516.754588,170.0,346.75458764,17507.729382,0.02,False,,8239.0,3.0,1.0,2.0,0.42,False,,
pool1w7c2j0px43jmudhf48ezp7dy8j7904c9l3wc7809lhh2z026hch,,1,51835043.812894,6065,605.397726,170.0,435.397726125,17585.909045,0.025,False,,8547.0,3.4,1.0,2.5,0.41,False,,
ECO,ECO,1,51560368.811939,3562,746.464106,340.0,406.46410642500007,16598.564257,0.025,True,Material pledge,14475.0,4.5,2.0,2.4,0.41,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 50,631,662 ADA. Community multi-pool operator pattern detected."
pool106sjgd9m4shsvtc9ruk7femgndknefmct6eedskww37pzv8hz9n,,1,50643588.79581,3,568.866866,170.0,398.86686567,13465.562189,0.03,False,,16881196.0,4.2,1.3,3.0,0.4,True,,
pool1a23gmvalpdams9d42t7fur8vmknzjv7wd3nsvuvrc7dv66lnau0,,1,50614809.862938,2781,676.193274,340.0,336.19327380000004,13787.730952,0.025,False,,18200.0,4.9,2.5,2.4,0.4,False,,
VIPER,VIPER,1,49893849.731779,3452,309.585512,170.0,139.585511943,15679.501327,0.009,True,Material pledge,14454.0,2.0,1.1,0.9,0.39,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 68,073,136 ADA. Community multi-pool operator pattern detected."
pool1dxwgzj66pual956mnv9delkelg873yvgr2dd8s279m0hxqvr475,,1,49762444.622803,3197,499.550903,340.0,159.55090289,16295.090289,0.01,False,,15565.0,3.1,2.1,1.0,0.39,False,,
pool1pp7tn2w6ken4rpfcjwcdup3g4m5gcdhc9lgvrm3mnxz5stmrhq2,,1,49680350.508814,2546,974.716133,340.0,634.7161326702,16247.672498,0.0399,False,,19513.0,6.0,2.1,3.9,0.39,False,,
pool1krznhwu3h5pu2stuslr53z5rme50t6384macsmylcnljwc7yjky,,1,48872055.407444,829,309.300958,170.0,139.30095806,14100.095806,0.01,False,,58953.0,2.2,1.2,1.0,0.38,False,,
AWP,STSH1,3,47571756.287102,83770,1515.540814,1035.0,480.54081335,10645.816267,0.05,True,Low pledge,568.0,14.2,9.7,4.5,0.37,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 3 pools identified, total stake 47,479,873 ADA. Community multi-pool operator pattern detected."
pool193uec04jldvah7r52q86wl033g4v42x0aste8jfg9999qepaxfp,,1,47254466.167255,1270,356.228109,170.0,186.22810884,18792.810884,0.01,False,,37208.0,1.9,0.9,1.0,0.37,False,,
RAY,XRAY1,5,45607029.92153,8892,1794.209761,1673.153707,121.056054,13778.759107,0.01,True,Low pledge,5129.0,13.0,12.1,0.9,0.36,False,protocol_project,"Automated discovery via pool group and reward address clustering. 8 pools identified, total stake 45,682,444 ADA. Community multi-pool operator pattern detected."
SUNNY,SUNNY,2,45378969.623403996,8628,954.2137749999999,680.0,274.21377484,14390.688741999998,0.02,True,Low pledge,5260.0,6.6,4.7,1.9,0.36,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 45,310,588 ADA. Community multi-pool operator pattern detected."
HRMS,HRMS,1,43439326.036351,7582,539.429358,340.0,199.42935764000003,10311.467882,0.02,True,Material pledge,5729.0,5.2,3.3,1.9,0.34,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 44,270,100 ADA. Community multi-pool operator pattern detected."
ATLAS,ATLAS,1,42830674.593007,3740,450.233536,340.0,110.23353648,14119.19206,0.008,True,Material pledge,11452.0,3.2,2.4,0.8,0.34,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 48,578,138 ADA. Community multi-pool operator pattern detected."
pool1qqq0c53vaf5ju0n3fvujmyxwca0yhp65930evw9lngmr5705csz,,1,42100749.477631,1690,350.948819,340.0,10.948818741,11288.818741,0.001,False,,24912.0,3.1,3.0,0.1,0.33,False,,
WEP,ISP,3,42037232.775345,158,1405.094119,993.212211,411.881908446,13154.183810999999,0.05,True,Low pledge,266058.0,10.7,7.6,3.1,0.33,False,multi_brand_fleet,"Automated discovery via pool group and reward address clustering. 6 pools identified, total stake 84,018,239 ADA. Community multi-pool operator pattern detected."
DNEWS,DNEWS,2,39547450.064619,6351,1194.096493,680.0,514.0964928999999,10961.929858,0.05,True,Low pledge,6227.0,10.9,6.2,4.7,0.31,False,protocol_project,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 39,652,260 ADA. Community multi-pool operator pattern detected."
KIWI,KIWI,2,38497704.979361996,7642,916.6129309999999,680.0,236.61293136,12510.646568,0.02,True,Material pledge,5038.0,7.3,5.4,1.9,0.3,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 3 pools identified, total stake 40,599,989 ADA. Community multi-pool operator pattern detected."
IBEX,IBEX,2,38428532.94839,97,981.0555400000001,680.0,301.05554055600004,11586.642161,0.027,True,Minimal pledge,396170.0,8.5,5.9,2.6,0.3,False,protocol_project,"Automated discovery via pool group and reward address clustering. 3 pools identified, total stake 44,280,794 ADA. Community multi-pool operator pattern detected."
ADASTRONG_COM,ADBV,1,37795624.654258,337,799.285965,345.0,454.2859646,9430.719292,0.05,True,High pledge,112153.0,8.5,3.7,4.8,0.3,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 37,837,754 ADA. Community multi-pool operator pattern detected."
pool14wk2m2af7y4gk5uzlsmsunn7d9ppldvcxxa5an9r5ywek8330fg,,1,37722049.806889,3816,540.870381,170.0,370.8703810227,12573.691673,0.0299,False,,9885.0,4.3,1.4,2.9,0.3,False,,
pool1t6n7rysk6wzm9wqxda6zxpzmm3j6256fs3mp06dc26n6503hhj4,,1,36620087.236698,1322,306.088162,170.0,136.08816183000002,13778.816183,0.01,False,,27701.0,2.2,1.2,1.0,0.29,False,,
pool1xlfty06hg6q23qvcaxwv3p9ke7ff9n34qpr8tpxt2zflyq20ceh,,1,35756125.21429,722,446.807999,340.0,106.807999095,12207.555455,0.009,False,,49524.0,3.7,2.8,0.9,0.28,False,,
NKR,NKR,1,35483251.831907,468,433.692403,340.0,93.69240320000002,9709.24032,0.01,True,Low pledge,75819.0,4.5,3.5,1.0,0.28,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 3 pools identified, total stake 36,129,780 ADA. Community multi-pool operator pattern detected."
KAIZN,KAIZN,3,34555407.602655,4135,1245.020737,1020.0,225.02073705,10020.829482,0.025,True,Low pledge,8357.0,12.4,10.2,2.2,0.27,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 4 pools identified, total stake 34,524,487 ADA. Community multi-pool operator pattern detected."
BINANCE,Binance,1,34467724.299667,17,616.487238,345.0,271.487238,9394.5746,0.03,True,Zero pledge,2027513.0,6.6,3.7,2.9,0.27,True,cex,"Binance global exchange with Earn/staking product. BNP-prefixed tickers, unambiguous exchange brand. Pledge≈0. Declining over time from 7.4% to 1.8% of supply — suggests gradual withdrawal of exchange-staked ADA rather than organic delegation loss."
pool1ewrm7y47s9hv6hxku9n5gfnsuspymp0qqpwgvgm9rvm37cek2h6,,1,33635162.172044,2930,583.462476,340.0,243.46247643,8455.415881,0.03,False,,11480.0,6.9,4.0,2.9,0.26,False,,
COFFEEPOOL_JP,COFFE,2,33445907.420146998,622,960.494972,680.0,280.49497192499996,11899.798877,0.025,True,Minimal pledge,53772.0,8.1,5.7,2.4,0.26,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 33,688,669 ADA. Community multi-pool operator pattern detected."
pool1lurfk0k0wwx54hlg8a7zp3jtstu57u59aeq7aketl55hknmmtu0,,1,32763623.338988,3315,256.318643,170.0,86.31864287,8801.864287,0.01,False,,9883.0,2.9,1.9,1.0,0.26,False,,
pool1c89d4drtwn0048mekkdkzllz559ahnntxelyw2mppxnmc36hjlx,,1,32585429.815221,778,430.043662,340.0,90.04366175310001,9435.319369,0.0099,False,,41884.0,4.6,3.6,1.0,0.26,False,,
WAFFLEPOOL_ORG,,1,31651822.424814,1111,578.25583,340.0,238.25582986,12252.791493,0.02,True,Material pledge,28489.0,4.7,2.8,1.9,0.25,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 31,762,112 ADA. Community multi-pool operator pattern detected."
TERA,TERA,2,31330590.765946,2667,757.751258,680.0,77.7512574,8455.12574,0.01,True,Minimal pledge,11748.0,9.0,8.0,0.9,0.25,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 3 pools identified, total stake 52,889,328 ADA. Community multi-pool operator pattern detected."
pool19f6guwy97mmnxg9dz65rxyj8hq07qxud886hamyu4fgfz7dj9gl,,1,30775843.829403,22052,508.729417,340.0,168.729416535,11588.627769,0.015,False,,1396.0,4.4,2.9,1.5,0.24,False,,
pool1gqgyta9sku3crjzfl9kj7kxsgfkt98y98yeu09kx22zscrezuj7,,1,30727747.703015,2157,322.596915,170.0,152.596914583,8201.416557,0.019,False,,14246.0,3.9,2.1,1.9,0.24,False,,
4ADA,4ADA,1,30374264.218978,1493,304.401263,170.0,134.40126282,6890.063141,0.02,True,Material pledge,20344.0,4.4,2.5,2.0,0.24,False,community_branded_fleet,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 37,799,485 ADA. Community multi-pool operator pattern detected."
pool1yc6f3cqsc7jfh07hcns64v5cp8720mve870pgxf2wkr3u8l7tse,,1,27976128.429571,3370,274.123471,170.0,104.123470644,5954.637258,0.018,False,,8302.0,4.6,2.9,1.7,0.22,False,,
pool1c3ecg6h4m73a2mftmdm9mz3gxklxmnzuwzl9e38lzd4y26qcm8a,,1,27877809.965187,162,519.609809,340.0,179.60980945,7524.392378,0.025,False,,172085.0,6.9,4.5,2.4,0.22,False,,
pool1d3gckjrphwytzw2uavgkxskwe08msumzsfj4lxnpcnpks3zjml3,,1,27837940.698733,1380,366.033268,170.0,196.033267802,10020.91798,0.0199,False,,20172.0,3.7,1.7,2.0,0.22,False,,
pool1rvjj8cp3urh7de07pm0ceqha2x4lxws69lhd4429dm6djfjsy4l,,1,27562863.776598,2017,443.075987,340.0,103.07598706,10647.598706,0.01,False,,13665.0,4.2,3.2,1.0,0.22,False,,
pool1pfprlfz0ywcnewjegazz05ghgcfkvu40v6edsz6yn8w362sdjr8,,1,26929288.983075,1765,404.941993,340.0,64.941993,8457.749125,0.008,False,,15257.0,4.8,4.0,0.8,0.21,False,,
pool1j099ctc7kcc9fa78dz5qwsy2g0n96lrgletwxvxmyzh4zd7ck0j,,1,26533334.358051,1952,526.425282,340.0,186.4252818186,9708.104614,0.0199,False,,13593.0,5.4,3.5,1.9,0.21,False,,
pool1qqqyv9pn9typyqwcxqk5ewpxy5p27g5j2ms58hpp2c2kuzs5z77,,1,26516830.888242,3785,416.326146,170.0,246.326146475,10023.045859,0.025,False,,7006.0,4.2,1.7,2.5,0.21,False,,
